METRICS,SRCC (on YouTube-UGC),DIM,Feature Extractor,Quality Predictor
Saliency,0.2048,224,52.621347,4.979651504092747
NSS,0.7103,1836,103.3121305,15.676356871922811
NSS_Saliency,0.7038,2060,289.21696092857144,17.064781427383423
NSS_CNN,0.7546,3884,115.36123957142856,29.55655603938633
NSS_CNN_Saliency,0.7541,4108,310.81222385714284,31.275542815526325
NSS_VSFACNN,0.7338,5932,1944.4789908142768,43.94180989265442
NSS_VSFACNN_Saliency,0.7333,5932,196.72693942204063,44.12535201178657
CNN,0.6438,2048,23.739883428571428,17.453566577699448
CNN_Saliency,0.6274,2272,66.98929299999999,18.61031675338745
VSFACNN,0.7918,4096,1841.1276895999908,31.692277404997085
VSFACNN_Saliency,0.6441,4096,92.26939977918352,31.98022847705417
